PLAYER_ID,PLAYER_NAME,TOURNAMENT_NAME,GIR_PERCENTAGE,TOTAL_DRIVING_DISTANCE,FIR_PERCENTAGE,SCRAMBLING_PERCENTAGE,PUTTS_PER_ROUND
46046,Scottie Scheffler,2023 Masters Tournament,76.39,308.6,73.21,58.82,31.75
35450,Patrick Cantlay,2023 Masters Tournament,75.0,308.4,80.36,55.56,31.25
46970,Jon Rahm,2023 Masters Tournament,72.22,298.8,85.71,80.0,28.75
48081,Xander Schauffele,2023 Masters Tournament,72.22,298.1,78.57,65.0,29.75
55182,Tom Kim,2023 Masters Tournament,70.83,299.8,83.93,66.67,30.0
33204,Shane Lowry,2023 Masters Tournament,70.83,293.6,89.29,61.9,31.0
31323,Gary Woodland,2023 Masters Tournament,70.83,310.4,75.0,61.9,30.0
47504,Sam Burns,2023 Masters Tournament,69.44,313.3,82.14,36.36,30.75
24024,Zach Johnson,2023 Masters Tournament,69.44,287.4,78.57,54.55,30.75
47529,Mito Pereira,2023 Masters Tournament,69.44,301.8,71.43,50.0,31.5
29725,Tony Finau,2023 Masters Tournament,66.67,299.8,75.0,50.0,30.5
34098,Russell Henley,2023 Masters Tournament,66.67,284.8,89.29,75.0,27.75
30925,Dustin Johnson,2023 Masters Tournament,66.67,305.5,73.21,33.33,31.0
36689,Brooks Koepka,2023 Masters Tournament,66.67,306.3,76.79,66.67,29.0
57366,Cameron Young,2023 Masters Tournament,66.67,320.0,83.93,54.17,28.25
29936,Ryan Fox,2023 Masters Tournament,65.28,305.9,64.29,64.0,29.75
1810,Phil Mickelson,2023 Masters Tournament,65.28,288.8,82.14,60.0,28.25
51634,Sahith Theegala,2023 Masters Tournament,65.28,302.6,78.57,56.0,28.5
59652,Sam Bennett,2023 Masters Tournament,63.89,281.1,80.36,69.23,28.75
40098,Matt Fitzpatrick,2023 Masters Tournament,63.89,303.5,78.57,73.08,29.25
50525,Collin Morikawa,2023 Masters Tournament,63.89,294.6,80.36,65.38,28.5
24502,Adam Scott,2023 Masters Tournament,63.89,315.4,75.0,53.85,30.0
45526,Abraham Ancer,2023 Masters Tournament,62.5,272.9,80.36,51.85,30.25
46402,Talor Gooch,2023 Masters Tournament,62.5,292.9,78.57,51.85,29.5
34363,Tyrrell Hatton,2023 Masters Tournament,62.5,303.9,71.43,62.96,30.5
39546,Keith Mitchell,2023 Masters Tournament,62.5,301.6,66.07,25.93,31.0
49771,J.T. Poston,2023 Masters Tournament,62.5,284.0,69.64,62.96,30.0
34360,Patrick Reed,2023 Masters Tournament,62.5,288.4,80.36,62.96,27.25
46717,Viktor Hovland,2023 Masters Tournament,61.11,299.3,87.5,71.43,28.75
32839,Hideki Matsuyama,2023 Masters Tournament,61.11,283.5,85.71,71.43,28.75
45486,Joaquin Niemann,2023 Masters Tournament,61.11,317.8,73.21,53.57,28.0
34046,Jordan Spieth,2023 Masters Tournament,61.11,296.8,73.21,60.71,27.75
30692,Scott Stallings,2023 Masters Tournament,61.11,302.0,69.64,64.29,28.75
28089,Jason Day,2023 Masters Tournament,59.72,301.8,71.43,65.52,29.0
34099,Harris English,2023 Masters Tournament,59.72,290.3,78.57,62.07,30.0
39971,Sungjae Im,2023 Masters Tournament,59.72,282.3,76.79,65.52,28.0
37455,Si Woo Kim,2023 Masters Tournament,59.72,287.0,80.36,55.17,28.75
30926,Chris Kirk,2023 Masters Tournament,59.72,289.1,82.14,58.62,28.5
32791,K.H. Lee,2023 Masters Tournament,59.72,296.0,85.71,51.72,29.25
49947,Taylor Moore,2023 Masters Tournament,59.72,306.9,66.07,48.28,29.25
22405,Justin Rose,2023 Masters Tournament,59.72,299.9,75.0,58.62,28.0
26331,Charl Schwartzel,2023 Masters Tournament,59.72,285.4,55.36,51.72,29.75
30911,Tommy Fleetwood,2023 Masters Tournament,58.33,295.5,76.79,60.0,29.5
29420,Billy Horschel,2023 Masters Tournament,58.33,289.5,66.07,33.33,30.0
35506,Mackenzie Hughes,2023 Masters Tournament,58.33,293.8,67.86,53.33,28.25
39977,Max Homa,2023 Masters Tournament,56.94,295.1,67.86,48.39,29.5
33293,Thomas Pieters,2023 Masters Tournament,55.56,289.6,73.21,50.0,30.5
33141,Keegan Bradley,2023 Masters Tournament,54.17,292.3,78.57,66.67,28.25
1226,Fred Couples,2023 Masters Tournament,54.17,285.4,73.21,45.45,29.5
37189,Harold Varner III,2023 Masters Tournament,54.17,300.3,71.43,66.67,28.5
28252,Seamus Power,2023 Masters Tournament,52.78,285.3,69.64,41.18,28.5
49960,Sepp Straka,2023 Masters Tournament,52.78,296.4,73.21,52.94,29.0
35891,Cameron Smith,2023 Masters Tournament,50.0,295.1,62.5,58.33,27.5
